reading	word	google_pos	microsoft_pos	atok_pos	origin	source_url	note	added_on
あくしあ	アクシア・クローネ	人名	人名	人名	upstream			
あくせるしりおす	アクセル・シリオス	人名	人名	人名	upstream			
あくせる	アクセル・シリオス	人名	人名	人名	upstream			
あくまのごーと	あくまのゴート	人名	人名	人名	upstream			
ごーと	あくまのゴート	人名	人名	人名	upstream			
あざいるぅか	あざいるぅか	人名	人名	人名	upstream			
あざいるうか	あざいるぅか	人名	人名	人名	upstream			
るぅか	あざいるぅか	人名	人名	人名	upstream			
るうか	あざいるぅか	人名	人名	人名	upstream			
あしがくさい	アシガ・クサイ	人名	人名	人名	upstream			
くさい	アシガ・クサイ	人名	人名	人名	upstream			
あすてるれだ	アステル・レダ	人名	人名	人名	upstream			
れだ	アステル・レダ	人名	人名	人名	upstream			
あずまりむ	アズマリム	人名	人名	人名	upstream			
あずりむ	アズマリム	人名	人名	人名	upstream			
あすみゃー	あすみゃ～	人名	人名	人名	upstream			
あずらせしりあ	アズラ・セシリア	人名	人名	人名	upstream			
あずら	アズラ・セシリア	人名	人名	人名	upstream			
あだむ	あだむ教授	人名	人名	人名	upstream			
あっくんだいまおう	あっくん大魔王	人名	人名	人名	upstream			
あっくん	あっくん大魔王	人名	人名	人名	upstream			
あっけらかん	アッケラ缶	人名	人名	人名	upstream			
あでぃあ	アディア	人名	人名	人名	upstream			
あにゔぇるさーりお	アニヴェル・サーリオ	人名	人名	人名	upstream			
さーりお	アニヴェル・サーリオ	人名	人名	人名	upstream			
あにめむすめえいれーん	アニメ娘エイレーン	人名	人名	人名	upstream			
えいれーん	アニメ娘エイレーン	人名	人名	人名	upstream			
じょんこ	あまちじょんこ	人名	人名	人名	upstream			
あまつぎつね	アマツギツネ	人名	人名	人名	upstream			
そよぎ	あまねそよぎ	人名	人名	人名	upstream			
あまみりりあ	アマミリリア	人名	人名	人名	upstream			
りりあ	アマミリリア	人名	人名	人名	upstream			
あみしあみしぇら	アミシア・ミシェラ	人名	人名	人名	upstream			
あみしあ	アミシア・ミシェラ	人名	人名	人名	upstream			
くんちゃん	アメノセイ	人名	人名	人名	upstream			
せい	アメノセイ	人名	人名	人名	upstream			
あめひとつ	アメひとつ	人名	人名	人名	upstream			
あめざり	アメリカザリガニ	人名	人名	人名	upstream			
あもすこーうぇん	アモス・コーウェン	人名	人名	人名	upstream			
あもんふろっくはーと	アモン・フロックハート	人名	人名	人名	upstream			
あもん	アモン・フロックハート	人名	人名	人名	upstream			
あやつじ	あやつじ	人名	人名	人名	upstream			
あゆんだりす	アユンダ・リス	人名	人名	人名	upstream			
りす	アユンダ・リス	人名	人名	人名	upstream			
あらいみくま	アライ・ミクマ	人名	人名	人名	upstream			
あらいこ	アライ子	人名	人名	人名	upstream			
あらざめ	アラザメちゃん	人名	人名	人名	upstream			
ありあーて	アリアーテ学園	人名	人名	人名	upstream			
ありえすえす	アリエス・S	人名	人名	人名	upstream			
ありえす	アリエス・S	人名	人名	人名	upstream			
ありしあろーれらい	アリシア・ローレライ	人名	人名	人名	upstream			
ありしあ	アリシア・ローレライ	人名	人名	人名	upstream			
ありすくりゅーむ	アリスクリューム	人名	人名	人名	upstream			
ありす	アリスクリューム	人名	人名	人名	upstream			
あいすくりゅーむばにらあいこ	アリスクリュームバニラ・アイコ	人名	人名	人名	upstream			
あいこ	アリスクリュームバニラ・アイコ	人名	人名	人名	upstream			
あるかとーにっつ	アルカ・トーニッツ	人名	人名	人名	upstream			
あるか	アルカ・トーニッツ	人名	人名	人名	upstream			
あるすあるまる	アルス・アルマル	人名	人名	人名	upstream			
あるまる	アルス・アルマル	人名	人名	人名	upstream			
あるばせら	アルバ・セラ	人名	人名	人名	upstream			
せら	アルバ・セラ	人名	人名	人名	upstream			
あるふぁぶらざーず	あるふぁブラザーズ	人名	人名	人名	upstream			
あるぶら	あるふぁブラザーズ	人名	人名	人名	upstream			
あるむふぇるらーべん	アルム・フェルラーベン	人名	人名	人名	upstream			
あるむ	アルム・フェルラーベン	人名	人名	人名	upstream			
あるれいやるふぉん	アルレイヤ・ルフォン	人名	人名	人名	upstream			
るふぉん	アルレイヤ・ルフォン	人名	人名	人名	upstream			
あんぎらあい	アンギラ・アイ	人名	人名	人名	upstream			
あいり	アンギラ・アイ	人名	人名	人名	upstream			
あんくらららら	アンクララ・ララ	人名	人名	人名	upstream			
